query,prediction
1,TypeA
2,TypeB
3,TypeA
4,TypeA
5,TypeA
6,TypeB
7,TypeB
8,TypeB
9,TypeB
10,TypeA
11,TypeA
12,TypeB
13,TypeB
14,TypeA
15,TypeA
16,TypeB
17,TypeA
18,TypeA
19,TypeA
20,TypeA
21,TypeB
22,TypeA
23,TypeB
24,TypeB
25,TypeA
26,TypeB
27,TypeB
28,TypeA
29,TypeA
30,TypeA
31,TypeA
32,TypeA
33,TypeA
34,TypeA
35,TypeB
36,TypeA
37,TypeA
38,TypeA
39,TypeB
40,TypeA
41,TypeA
42,TypeB
43,TypeA
44,TypeA
45,TypeA
46,TypeA
47,TypeB
48,TypeB
49,TypeA
50,TypeB
51,TypeA
52,TypeB
53,TypeB
54,TypeA
55,TypeA
56,TypeA
57,TypeA
58,TypeA
59,TypeB
60,TypeA
61,TypeB
62,TypeB
63,TypeA
64,TypeB
65,TypeA
66,TypeB
67,TypeA
68,TypeB
69,TypeB
70,TypeA
71,TypeA
72,TypeA
73,TypeA
74,TypeB
75,TypeA
76,TypeB
77,TypeA
78,TypeA
79,TypeA
80,TypeA
81,TypeA
82,TypeA
83,TypeB
84,TypeA
85,TypeB
86,TypeA
87,TypeB
88,TypeA
89,TypeA
90,TypeA
91,TypeA
92,TypeA
93,TypeA
94,TypeA
95,TypeA
96,TypeA
97,TypeA
98,TypeA
99,TypeA
100,TypeA
101,TypeA
102,TypeA
103,TypeA
104,TypeA
105,TypeA
106,TypeA
107,TypeA
108,TypeA
109,TypeA
110,TypeA
111,TypeA
112,TypeA
113,TypeA
114,TypeA
115,TypeA
116,TypeA
117,TypeA
118,TypeA
119,TypeA
120,TypeA
121,TypeA
122,TypeA
123,TypeA
124,TypeA
125,TypeA
126,TypeA
127,TypeA
128,TypeA
129,TypeA
130,TypeA
131,TypeA
132,TypeA
133,TypeA
134,TypeA
135,TypeA
136,TypeA
137,TypeA
138,TypeA
139,TypeA
140,TypeA
141,TypeA
142,TypeB
143,TypeA
144,TypeB
145,TypeA
146,TypeB
147,TypeA
148,TypeB
149,TypeB
150,TypeA
151,TypeA
152,TypeA
153,TypeA
154,TypeA
155,TypeB
156,TypeB
157,TypeA
158,TypeB
159,TypeB
160,TypeA
161,TypeB
162,TypeA
163,TypeA
164,TypeA
165,TypeA
166,TypeB
167,TypeB
168,TypeB
169,TypeB
170,TypeA
171,TypeA
172,TypeB
173,TypeA
174,TypeB
175,TypeB
176,TypeA
177,TypeA
178,TypeA
179,TypeA
180,TypeA
181,TypeB
182,TypeA
183,TypeB
184,TypeA
185,TypeB
186,TypeA
187,TypeA
188,TypeA
189,TypeB
190,TypeA
191,TypeA
192,TypeB
193,TypeB
194,TypeA
195,TypeB
196,TypeA
197,TypeA
198,TypeB
199,TypeA
200,TypeB
201,TypeA
202,TypeA
203,TypeA
204,TypeA
205,TypeB
206,TypeA
207,TypeA
208,TypeA
209,TypeB
210,TypeB
211,TypeA
212,TypeA
213,TypeA
214,TypeA
215,TypeB
216,TypeA
217,TypeB
218,TypeB
219,TypeA
220,TypeB
221,TypeA
222,TypeA
223,TypeA
224,TypeA
225,TypeA
226,TypeA
227,TypeA
228,TypeA
229,TypeB
230,TypeA
231,TypeA
232,TypeA
233,TypeA
234,TypeA
235,TypeA
236,TypeA
237,TypeA
238,TypeB
239,TypeA
240,TypeA
241,TypeA
242,TypeA
243,TypeA
244,TypeA
245,TypeB
246,TypeB
247,TypeB
248,TypeA
249,TypeA
250,TypeA
251,TypeB
252,TypeA
253,TypeA
254,TypeA
255,TypeA
256,TypeA
257,TypeA
258,TypeA
259,TypeA
260,TypeA
261,TypeB
262,TypeB
263,TypeA
264,TypeB
265,TypeA
266,TypeB
267,TypeA
268,TypeA
269,TypeA
270,TypeA
271,TypeA
272,TypeA
273,TypeA
274,TypeA
275,TypeA
276,TypeA
277,TypeA
278,TypeA
279,TypeA
280,TypeA
281,TypeA
282,TypeA
283,TypeA
284,TypeA
285,TypeA
286,TypeA
287,TypeA
288,TypeA
289,TypeA
290,TypeA
291,TypeA
292,TypeA
293,TypeA
294,TypeA
295,TypeA
296,TypeA
297,TypeA
298,TypeA
299,TypeA
300,TypeA
301,TypeA
302,TypeA
303,TypeA
304,TypeA
305,TypeA
306,TypeA
307,TypeA
308,TypeA
309,TypeA
310,TypeB
311,TypeA
312,TypeA
313,TypeA
314,TypeB
315,TypeA
316,TypeA
317,TypeA
318,TypeA
319,TypeB
320,TypeA
321,TypeA
322,TypeA
323,TypeA
324,TypeA
325,TypeA
326,TypeA
327,TypeA
328,TypeB
329,TypeB
330,TypeA
331,TypeB
332,TypeA
333,TypeB
334,TypeA
335,TypeA
336,TypeB
337,TypeA
338,TypeA
339,TypeA
340,TypeA
341,TypeA
342,TypeA
343,TypeA
344,TypeA
345,TypeA
346,TypeB
347,TypeA
348,TypeA
349,TypeA
350,TypeB
351,TypeA
352,TypeB
353,TypeA
354,TypeA
355,TypeB
356,TypeA
357,TypeA
358,TypeA
359,TypeA
360,TypeA
361,TypeB
362,TypeB
363,TypeB
364,TypeB
365,TypeA
366,TypeA
367,TypeA
368,TypeB
369,TypeA
370,TypeA
371,TypeA
372,TypeA
373,TypeA
374,TypeA
375,TypeA
376,TypeA
377,TypeB
378,TypeA
379,TypeB
380,TypeB
381,TypeB
382,TypeB
383,TypeB
384,TypeA
385,TypeA
386,TypeA
387,TypeA
388,TypeA
389,TypeA
390,TypeA
391,TypeA
392,TypeA
393,TypeA
394,TypeB
395,TypeA
396,TypeB
397,TypeB
398,TypeA
399,TypeA
400,TypeA
401,TypeA
402,TypeA
403,TypeA
404,TypeA
405,TypeA
406,TypeA
407,TypeA
408,TypeA
409,TypeB
410,TypeB
411,TypeA
412,TypeA
413,TypeA
414,TypeB
415,TypeB
416,TypeA
417,TypeA
418,TypeB
419,TypeA
420,TypeA
421,TypeA
422,TypeA
423,TypeA
424,TypeA
425,TypeA
426,TypeB
427,TypeA
428,TypeA
429,TypeA
430,TypeA
431,TypeA
432,TypeA
433,TypeA
434,TypeA
435,TypeA
436,TypeA
437,TypeA
438,TypeA
439,TypeA
440,TypeA
441,TypeA
442,TypeA
443,TypeA
444,TypeA
445,TypeA
446,TypeA
447,TypeA
448,TypeA
449,TypeB
450,TypeA
451,TypeA
452,TypeA
453,TypeA
454,TypeB
455,TypeA
456,TypeA
457,TypeA
458,TypeA
459,TypeA
460,TypeA
461,TypeA
462,TypeA
463,TypeA
464,TypeA
465,TypeA
466,TypeA
467,TypeA
468,TypeB
469,TypeB
470,TypeB
471,TypeA
472,TypeA
473,TypeA
474,TypeB
475,TypeA
476,TypeA
477,TypeA
478,TypeB
479,TypeB
480,TypeA
481,TypeA
482,TypeA
483,TypeA
484,TypeB
485,TypeA
486,TypeB
487,TypeA
488,TypeA
489,TypeA
490,TypeA
491,TypeA
492,TypeA
493,TypeB
494,TypeA
495,TypeB
496,TypeA
497,TypeB
498,TypeB
499,TypeB
500,TypeB
501,TypeA
502,TypeB
503,TypeB
504,TypeA
505,TypeA
506,TypeA
507,TypeB
508,TypeB
509,TypeA
510,TypeA
511,TypeA
512,TypeA
513,TypeA
514,TypeA
515,TypeB
516,TypeA
517,TypeB
518,TypeB
519,TypeA
520,TypeA
521,TypeA
522,TypeB
523,TypeB
524,TypeB
525,TypeA
526,TypeA
527,TypeA
528,TypeA
529,TypeB
530,TypeA
531,TypeB
532,TypeA
533,TypeB
534,TypeA
535,TypeA
536,TypeB
537,TypeA
538,TypeA
539,TypeB
540,TypeA
541,TypeA
542,TypeA
543,TypeA
544,TypeA
545,TypeA
546,TypeB
547,TypeA
548,TypeA
549,TypeA
550,TypeA
551,TypeA
552,TypeA
553,TypeA
554,TypeA
555,TypeA
556,TypeA
557,TypeA
558,TypeA
559,TypeB
560,TypeA
561,TypeA
562,TypeA
563,TypeA
564,TypeB
565,TypeA
566,TypeA
567,TypeA
568,TypeA
569,TypeA
570,TypeA
571,TypeA
572,TypeA
573,TypeA
574,TypeA
575,TypeA
576,TypeA
577,TypeA
578,TypeA
579,TypeA
580,TypeA
581,TypeA
582,TypeB
583,TypeA
584,TypeA
585,TypeB
586,TypeA
587,TypeA
588,TypeA
589,TypeA
590,TypeA
591,TypeA
592,TypeA
593,TypeA
594,TypeA
595,TypeA
596,TypeA
597,TypeA
598,TypeA
599,TypeA
600,TypeA
601,TypeA
602,TypeA
603,TypeA
604,TypeA
605,TypeA
606,TypeA
607,TypeA
608,TypeA
609,TypeA
610,TypeA
611,TypeA
612,TypeA
613,TypeA
614,TypeA
615,TypeA
616,TypeA
617,TypeA
618,TypeA
619,TypeA
620,TypeA
621,TypeA
622,TypeA
623,TypeA
624,TypeA
625,TypeA
626,TypeA
627,TypeA
628,TypeA
629,TypeA
630,TypeA
631,TypeA
632,TypeA
633,TypeA
634,TypeA
635,TypeA
636,TypeA
637,TypeA
638,TypeA
639,TypeA
